id,latitude,longitude,nome,tipo,dist_origem_km,dist_concorrente_km,score_janela,score_dist_concorrente,score_potencial
2594280467,-16.6908238,-49.2615899,Sem nome,fuel,174.61037325768442,0.020927836275925885,0.36355278564631266,3.25316034538755e-05,0.26066009727628875
4638381792,-16.6794041,-49.2681636,Baixo Oeste,restaurant,174.45503236705315,0.9778841533688594,0.36278453198344784,0.00152008736506694,0.2606454118070538
6341279085,-16.6866689,-49.263684,Restaurante Jardim Macrô,restaurant,174.5265261291208,0.5175827294949878,0.3631381114199843,0.0008045645946625946,0.2606429026378544
2526787885,-16.6818756,-49.2661984,Chão Nativo 1,restaurant,174.4402398810037,0.997797938285788,0.36271137428785216,0.0015510426604755012,0.26061080377831897
2526788000,-16.6850955,-49.2640704,Sem nome,fuel,174.45969826200155,0.6951759428444759,0.3628076076261205,0.001080627151565862,0.2605274191286071
2526787880,-16.6793898,-49.2673786,Castro's Park Hotel,hotel,174.38545804841638,1.040606007764331,0.36244044534330555,0.0016175863357289193,0.26046820951416705
2526787915,-16.6800339,-49.2666472,Mercure,hotel,174.36239180761763,1.057739913051526,0.3623263689793157,0.0016442204036311264,0.2604077539161438
9032867905,-16.6798569,-49.266742,Oft Alfre Hotels,hotel,174.35943923835924,1.0610781906211024,0.3623117667574641,0.001649409641576253,0.26040054935441637
5485000521,-16.6870308,-49.2624074,L’Entrecôte de Paris,restaurant,174.4384409084616,0.4400849864499081,0.3627024772920949,0.0006840970120576493,0.26034538188633927
2527222491,-16.6848558,-49.2630886,BR,fuel,174.35877751532777,0.6912117360609749,0.362308494141087,0.0010744649281334104,0.2602261023705572
10116627671,-16.6798167,-49.2656364,La Residence Suite Hotel,hotel,174.2602278921474,1.1603804727012312,0.36182110728065,0.0018037716319943338,0.2601524622654533
8755951130,-16.6444973,-49.289017,Motel Montreal,motel,174.1223585298158,1.9985504207711648,0.36113926078049363,0.0031066780585384296,0.2601342262933227
10111292946,-16.7120208,-49.2385621,Oitis Hotel,hotel,174.00067473706125,2.566836366571226,0.36053746160762246,0.003990059063312669,0.2600381610910323
10110204301,-16.6907861,-49.2574047,Posto Universo,fuel,174.24415380449767,0.46274226706329835,0.36174161129820814,0.000719316977396631,0.25977942827960887
10111738766,-16.6747204,-49.2664226,Aerocaldos,restaurant,174.0059032662877,1.493703112940882,0.3605633198134902,0.002321910239899483,0.259553231367529
2594280396,-16.6975984,-49.2513163,Churrascaria Gramado,restaurant,174.15625910188905,0.5182255066537536,0.3613069193960883,0.0008055637697021198,0.2595444871760286
10110287021,-16.6858499,-49.2596948,Glória Bar e Restaurante,restaurant,174.12659302469032,0.606463464271742,0.36116020289164363,0.0009427266473623558,0.2594976061366599
2594280486,-16.6981282,-49.2494438,Kakarekinho,fuel,174.0286805683308,0.6416297795875028,0.36067596720242734,0.0009973914779594054,0.25922346417230924
10091924401,-16.6904309,-49.2554232,Favo de Mel,restaurant,174.04917791768096,0.44379946719331864,0.36077733886093455,0.0006898710449289163,0.25919203103750443
2916445361,-16.7058116,-49.2411356,Cateretê,restaurant,173.81347455013383,1.8505048026579705,0.35961164465941564,0.0028765462246477685,0.25914861707050874
2594280435,-16.6985848,-49.2486412,Restaurante China,restaurant,173.988957450294,0.7282977216873728,0.36047951261273004,0.0011321138203641832,0.25914600812121225
8559646130,-16.6655387,-49.2718873,Mais Saudável,restaurant,173.90764679959034,1.1831538307143896,0.3600773827872915,0.0018391720356686228,0.2591168476905405
10091924402,-16.6916718,-49.2544227,Nativas,restaurant,174.04225635666276,0.27542497484528644,0.36074310759971695,0.0004281386735267779,0.2590929725693532
11208733175,-16.6952938,-49.2517544,Restaurante Gato Gourmet,restaurant,174.04488357294778,0.25780720511576727,0.3607561007564184,0.0004007524549504357,0.2590925525978012
10111768764,-16.673911,-49.2652703,Sleep Inn Hotel,hotel,173.85375698595027,1.4294845002974188,0.35981086541023877,0.0022220846098949905,0.2590718110365767
4480867289,-16.7055853,-49.2407352,Life Box,restaurant,173.76419539862104,1.8591126329389664,0.35936792976568277,0.0028899268014836907,0.25900640230731975
2546424500,-16.7044089,-49.2415563,BR,fuel,173.75776842061174,1.7032515358315237,0.3593361445134112,0.002647646073646671,0.25891464693760574
2843255053,-16.704015,-49.2418413,K hotel,hotel,173.7565151883467,1.6504058295502253,0.3593299465299046,0.002565499236376122,0.25888628409632064
3379574784,-16.7459204,-49.205268,Tempero da Marlene,restaurant,173.45732695598315,3.5111330299761994,0.3578502816814202,0.0054579358276223245,0.2588662161646038
4674661992,-16.7046839,-49.2401765,Casa Leond,restaurant,173.65704339571542,1.8264680954173662,0.3588379989896906,0.0028391819879451073,0.25867322039766294
8986837932,-16.6995519,-49.2454476,Mr Box Camarão,restaurant,173.7760162981494,1.0259779957687907,0.3594263911876825,0.0015948475929710322,0.25865295539796584
2594280428,-16.7057857,-49.2387584,Pizza Z,restaurant,173.60735062836105,2.0199261269598945,0.35859223851810607,0.003139905860405278,0.25861598127645025
2547381541,-16.68264,-49.2576734,Crystal Plaza Hotel,hotel,173.7451384885538,1.019554706847478,0.3592736819414135,0.0015848628107268119,0.25855833441553117
2547381594,-16.6808815,-49.2583447,Sem nome,fuel,173.6913372656285,1.1754258412551677,0.35900760269845955,0.0018271591412026844,0.25847137576890156
4674677054,-16.7035418,-49.2403962,Underdog,restaurant,173.60113129745358,1.7213956267179336,0.3585614802050128,0.0026758504404032456,0.25845830966259364
2916472733,-16.7031512,-49.2403974,Himitsu Jardim Goiás,restaurant,173.5756617622088,1.6920981986840877,0.35843551811181407,0.002630308593723572,0.2583690698526705
10111761581,-16.6729539,-49.2631729,Rede Andrade Goiania Centro,hotel,173.6094819954974,1.2794319235046199,0.3586027794040425,0.0019888330275959227,0.25827698395816934
2547381595,-16.6826955,-49.2559778,Sem nome,fuel,173.6009498935107,1.103385306803938,0.3585605830539599,0.001715174602119273,0.2581695686204767
10111762335,-16.6699553,-49.2653091,Logos Posto de Combustiveis,fuel,173.60727402498185,1.0152871050015073,0.3585918596685552,0.0015782289700792792,0.2581472508996219
3367362637,-16.7308023,-49.2165321,Churrascaria Costelão do Gaúcho,restaurant,173.377247945003,2.4058386672333674,0.3574542430514491,0.003739793663546023,0.2581131503373983
10112068300,-16.6959105,-49.2461528,Kakareko,fuel,173.60013649013533,0.7250034110389123,0.35855656028751404,0.00112699292748942,0.25799070045822026
10111924235,-16.6753875,-49.2593275,Goiânia Palace Hotel,hotel,173.4273122077467,1.5576753825953897,0.3577018407900431,0.002421352938179708,0.25786617676294477
2527344906,-16.6718609,-49.2615836,Sem nome,fuel,173.4011111420372,1.146755270417143,0.35757226084093574,0.001782591722526355,0.25759680042878436
10111949160,-16.6738786,-49.2596705,Hotel Alvorada,hotel,173.36151010425633,1.3862965593594354,0.35737641001115894,0.0021549504374913163,0.2575909975454078
2527222370,-16.6786406,-49.2556855,Sem nome,fuel,173.31637526577526,1.5121005688732472,0.357153191225397,0.0023505084539270043,0.2575157336788813
10110245880,-16.6756771,-49.2575747,ART DÉCO - Grande Hotel,hotel,173.29252976807572,1.5793463305842943,0.35703526096971183,0.0024550396832951397,0.2574763348942807
10089624064,-16.7035095,-49.2354641,Pizzaria Pirineus,restaurant,173.17474281130603,2.134939177276758,0.35645273398272026,0.003318689701008661,0.25738591370739977
2527344769,-16.6579639,-49.2707601,Prime Energy,fuel,173.3350266741162,1.0549006398676615,0.3572454336009704,0.0016398068508826774,0.25735786862331206
4720066591,-16.6749854,-49.2574864,Oft Palace hotel,hotel,173.24083147678502,1.501957374424124,0.3567795819821218,0.002334741206170292,0.2572868379585892
8783768680,-16.6859874,-49.2506437,CASA ROSA,restaurant,173.3480784307055,0.8012972552296178,0.35730998234770284,0.001245589090631182,0.25727833254327603
4410015245,-16.6531515,-49.2729844,Posto BR,fuel,173.23234501576098,1.5312499405608175,0.3567376113539119,0.0023802754951976553,0.2572753158683715
2527344768,-16.6577359,-49.2705178,Posto Fama,fuel,173.29944112501605,1.0411103267456767,0.357069441765658,0.0016183702822821647,0.2572458425515445
10110267137,-16.6722003,-49.258688,Sem nome,fuel,173.16910554803206,1.2242048249462476,0.356424854342394,0.0019029843977365715,0.2569444743322224
6518473287,-16.6840366,-49.2501308,Posto Central,fuel,173.17810196692238,1.02490862103037,0.3564693470174204,0.0015931852866305572,0.25687823020390643
2546423946,-16.6424319,-49.2787184,Sem nome,fuel,173.07983074436976,1.4399656817397224,0.3559833370146873,0.002238377246836219,0.25678018179032824
10110259835,-16.6730702,-49.2571719,Umuarama Hotel,hotel,173.09166515067676,1.2864146886036987,0.3560418652357902,0.001999687496362773,0.25674369179784795
2547498601,-16.6690653,-49.2602735,Garden Hotel,hotel,173.10952897561785,0.847603922044315,0.35613021254014765,0.0013175712154062775,0.2565920652961755
2547498793,-16.6688703,-49.2603724,Posto 200 Milhas,fuel,173.10587595810182,0.8245035109651463,0.35611214618250164,0.0012816624189621129,0.2565704528426546
3665575260,-16.7034614,-49.2314363,Posto Kakareko,fuel,172.82551339343556,2.502820575577591,0.35472558552638755,0.0038905487126039942,0.25652118233707877
10110181611,-16.6651103,-49.2634393,BR,fuel,173.13795904948054,0.44233973874877036,0.3562708162684498,0.0006876019471453573,0.2564874367526785
10111737816,-16.6720931,-49.2559294,Hotel Kananxuê Park Hotel,hotel,172.92097370241896,1.1616088039529668,0.35519769387942124,0.0018056810307809361,0.25617898704435205
2527344846,-16.6665383,-49.260402,Scalla Auto Posto,fuel,172.96126373181434,0.5691873633627231,0.3553969521850363,0.0008847822274476316,0.25602227238672104
2546423838,-16.6347811,-49.2823777,Rede Magela,fuel,172.9386340133807,0.7072097688884726,0.35528503468536454,0.0010993333212689649,0.2560194872150644
10111737814,-16.6728922,-49.2543013,Hotel Araguaia,hotel,172.8294031783227,1.2493376319324812,0.35474482284036957,0.0019420524838864748,0.2559481758568527
10111737815,-16.6721214,-49.2546232,Hotel Plaza Inn Suitotel,hotel,172.80855619079205,1.161951541397296,0.3546417220118302,0.0018062138043787753,0.25584556375587675
8769366496,-16.6422535,-49.2752197,Caprichos Caseiros da Eleuza,restaurant,172.7580041520114,1.4679255224752057,0.3543917119288399,0.002281839859953399,0.25583824552275497
10111737813,-16.6726558,-49.2540894,Augustus Hotel,hotel,172.79585586681412,1.2247996437964597,0.35457891130966435,0.0019039090232309064,0.25583718590023286
10112049956,-16.6878021,-49.2426471,Sem nome,fuel,172.77127327057636,1.1769247164001244,0.3544573356606151,0.0018294890911888992,0.2557419145311908
5237637822,-16.6780831,-49.2487574,Auto Posto Terra,fuel,172.6768283976479,1.7028734737225624,0.3539902492465278,0.0026470583890696557,0.2557069334721026
12472689659,-16.6337191,-49.2818352,Sem nome,fuel,172.82568661961648,0.5771122302201547,0.3547264422335138,0.0008971011610741953,0.25562366209589554
